lambda_label,lambda_value,reconstruction,prior_matching_sum_unscaled,prior_matching_over_lambda,confidence_over_lambda,prior_matching_and_confidence,diameter_term,average_terminal_distance,product_lipschitz,terminal_mismatch,accumulated_noise,total_bound,paper_bound,difference_from_paper,absolute_difference,relative_difference_percent,non_vacuous_below_sqrt8
n/10,500.0,1.055253267288208,0.06659409403800964,0.0001331881940132007,0.0059914645471079815,0.006124652922153473,0.10000000000000002,1.7724698781967163,0.0,0.0,0.00021267517877276987,1.161590576171875,1.124,0.03759057617187489,0.03759057617187489,3.3443573106650257,True
n/5,1000.0,1.055253267288208,0.06659409403800964,6.659409700660035e-05,0.0029957322735539907,0.0030623264610767365,0.20000000000000004,1.7724698781967163,0.0,0.0,0.00021267517877276987,1.2585283517837524,1.231,0.027528351783752347,0.027528351783752347,2.236259283814163,True
n/2,2500.0,1.055253267288208,0.06659409403800964,2.6637637347448617e-05,0.0011982929094215963,0.0012249305145815015,0.5000000000000001,1.7724698781967163,0.0,0.0,0.00021267517877276987,1.5566908121109009,1.5181,0.038590812110900874,0.038590812110900874,2.542046776292792,True
n,5000.0,1.055253267288208,0.06659409403800964,1.3318818673724309e-05,0.0005991464547107981,0.0006124652572907507,1.0000000000000002,1.7724698781967163,0.0,0.0,0.00021267517877276987,2.0560784339904785,2.035,0.021078433990478374,0.021078433990478374,1.0357952820873892,True
n/0.5,10000.0,1.055253267288208,0.06659409403800964,6.659409336862154e-06,0.0002995732273553991,0.00030623262864537537,2.0000000000000004,1.7724698781967163,0.0,0.0,0.00021267517877276987,3.055772304534912,3.056,-0.00022769546508794036,0.00022769546508794036,0.007450767836647262,False
n/0.1,50000.0,1.055253267288208,0.06659409403800964,1.3318818901097984e-06,5.991464547107982e-05,6.124653009464964e-05,10.000000000000004,1.7724698781967163,0.0,0.0,0.00021267517877276987,11.055527687072754,11.061,-0.005472312927246037,0.005472312927246037,0.04947394383189618,False
