dataset,lambda_label,lambda_value,reconstruction,prior_matching_sum_unscaled,prior_matching_over_lambda,confidence_over_lambda,prior_matching_and_confidence,diameter_term,average_terminal_distance,product_lipschitz,terminal_mismatch,accumulated_noise,total_bound,non_vacuous_below_sqrt8
checkerboard,n/10,500,1.047145605,0.066980571,0.000133961,0.005991465,0.006125426,0.1,1.772441745,0,0,0.000212556,1.153483629,TRUE
checkerboard,n/5,1000,1.047145605,0.066980571,6.70E-05,0.002995732,0.003062713,0.2,1.772441745,0,0,0.000212556,1.250420928,TRUE
checkerboard,n/2,2500,1.047145605,0.066980571,2.68E-05,0.001198293,0.001225085,0.5,1.772441745,0,0,0.000212556,1.548583269,TRUE
checkerboard,n,5000,1.047145605,0.066980571,1.34E-05,0.000599146,0.000612543,1,1.772441745,0,0,0.000212556,2.047970772,TRUE
checkerboard,n/0.5,10000,1.047145605,0.066980571,6.70E-06,0.000299573,0.000306271,2,1.772441745,0,0,0.000212556,3.047664642,FALSE
checkerboard,n/0.1,50000,1.047145605,0.066980571,1.34E-06,5.99E-05,6.13E-05,10,1.772441745,0,0,0.000212556,11.04741955,FALSE
